event_id,Item,Totals,Item Note
22636,Foam insulation & packaging (whole and remnants),9,9 x polystyrene balls
23164,Foam insulation & packaging (whole and remnants),9,8 x polystyrene balls
23105,Foam insulation & packaging (whole and remnants),9,1 x polystyrene ball
21392,Foam insulation & packaging (whole and remnants),8,8 x polystyrene balls
21962,Foam insulation & packaging (whole and remnants),8,8 x polystyrene balls
21974,Foam insulation & packaging (whole and remnants),8,8 x polystyrene balls
21861,Foam insulation & packaging (whole and remnants),8,8 x polystyrene balls
23084,Foam insulation & packaging (whole and remnants),8,8 x polystyrene balls
23117,Foam insulation & packaging (whole and remnants),8,1 x polystyrene ball
23110,Foam insulation & packaging (whole and remnants),8,8 x polystyrene balls
21927,Foam insulation & packaging (whole and remnants),7,7 x polystyrene balls
22117,Foam insulation & packaging (whole and remnants),7,7 x polystyrene balls
21880,Foam insulation & packaging (whole and remnants),7,7 x polystyrene balls
22083,Foam insulation & packaging (whole and remnants),7,7 x polystyrene balls
23090,Foam insulation & packaging (whole and remnants),7,4 x polystyrene balls
21516,Foam insulation & packaging (whole and remnants),6,6 x polystyrene balls
21512,Foam insulation & packaging (whole and remnants),6,6 x polystyrene balls
21385,Foam insulation & packaging (whole and remnants),6,6 x polystyrene balls
21969,Foam insulation & packaging (whole and remnants),6,6 x polystyrene balls
21971,Foam insulation & packaging (whole and remnants),6,6 x polystyrene balls
21973,Foam insulation & packaging (whole and remnants),6,6 x polystyrene balls
21778,Foam insulation & packaging (whole and remnants),6,6 x polystyrene balls
22526,Foam insulation & packaging (whole and remnants),6,6 x polystyrene balls
22505,Foam insulation & packaging (whole and remnants),6,6 x polystyrene balls
23166,Foam insulation & packaging (whole and remnants),6,1 x polystyrene ball
21513,Foam insulation & packaging (whole and remnants),5,5 x polystyrene balls
21543,Foam insulation & packaging (whole and remnants),5,5 x polystyrene balls
21459,Foam insulation & packaging (whole and remnants),5,5 x polystyrene balls
21460,Foam insulation & packaging (whole and remnants),5,5 x polystyrene balls
21970,Foam insulation & packaging (whole and remnants),5,5 x polystyrene balls
22553,Foam insulation & packaging (whole and remnants),5,5 x polystyrene balls
22608,Foam insulation & packaging (whole and remnants),5,5 x polystyrene balls
22602,Foam insulation & packaging (whole and remnants),5,5 x polystyrene balls
23123,Foam insulation & packaging (whole and remnants),5,3 x polystyrene balls
23912,Foam insulation & packaging (whole and remnants),5,2 x polystyrene balls
23891,Foam insulation & packaging (whole and remnants),5,1 x polystyrene ball
23832,Foam insulation & packaging (whole and remnants),5,3 x polystyrene balls
21454,Foam insulation & packaging (whole and remnants),4,4 x polystyrene balls
21456,Foam insulation & packaging (whole and remnants),4,4 x polystyrene balls
21447,Foam insulation & packaging (whole and remnants),4,4 x polystyrene balls
21448,Foam insulation & packaging (whole and remnants),4,4 x polystyrene balls
21451,Foam insulation & packaging (whole and remnants),4,4 x polystyrene balls
