event_id,item,total,coffee-item
23807,Paper & cardboard packaging,1 ,coffee cup
23815,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
23815,Paper & cardboard packaging,2 ,coffee cup
23818,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23819,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23825,Paper & cardboard packaging,1 ,coffee cup
23825,Paper & cardboard packaging,1 ,coffee cup
23827,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23827,Paper & cardboard packaging,1 ,coffee cup
23829,Paper & cardboard packaging,2 ,coffee cup
23829,Paper & cardboard packaging,1 ,coffee cup
23830,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23830,Paper & cardboard packaging,3 ,coffee cup
23834,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23841,Paper & cardboard packaging,1 ,coffee cup
23862,Paper & cardboard packaging,1 ,coffee cup
23867,"Plastic packaging food (wrap, packets, containers)",3 ,coffee lid
23867,Paper & cardboard packaging,2 ,coffee cup
23871,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
23874,"Plastic packaging food (wrap, packets, containers)",7 ,coffee lid
23874,Paper & cardboard packaging,8 ,coffee cup
23874,Paper & cardboard packaging,1 ,coffee cup
23874,Paper & cardboard packaging,1 ,coffee cup
23874,Paper & cardboard packaging,1 ,coffee cup
23879,"Plastic packaging food (wrap, packets, containers)",3 ,coffee lid
23879,Paper & cardboard packaging,3 ,coffee cup
23880,"Plastic packaging food (wrap, packets, containers)",8 ,coffee lid
23880,Paper & cardboard packaging,1 ,coffee cup
23880,Paper & cardboard packaging,1 ,coffee cup
23891,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
23891,Paper & cardboard packaging,2 ,coffee cup
23892,Paper & cardboard packaging,1 ,coffee cup
23897,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
23899,Paper & cardboard packaging,1 ,coffee cup
23900,Paper & cardboard packaging,1 ,coffee cup
23900,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23902,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
23902,Paper & cardboard packaging,1 ,coffee cup
23905,"Plastic packaging food (wrap, packets, containers)",3 ,coffee lid
23905,Paper & cardboard packaging,3 ,coffee cup
23909,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23913,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23914,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23914,Paper & cardboard packaging,1 ,coffee cup
23915,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23918,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23918,"Plastic packaging food (wrap, packets, containers)",1 ,coffee cup
23918,Paper & cardboard packaging,1 ,coffee cup
23918,Paper & cardboard packaging,1 ,coffee cup
23923,Paper & cardboard packaging,1 ,coffee cup
23931,Paper & cardboard packaging,1 ,coffee cup
23933,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
